,휴게소명,도로종류,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,휴게소대표음식명,휴게소전화번호,전화번호,편의시설,ex-화물차라운지,세차장
0,현풍(대구 방향),고속국도,중부내륙지선,상행,35.701841,128.4381001,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,현풍돼지불고기백반,053-615-0337,053-615-0337,"수유실,농산물판매장,쉼터",N,N
1,현풍(창원 방향),고속국도,중부내륙지선,하행,35.701783,128.435359,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,현풍고추장불고기백반,053-614-2436,053-614-2436,"수유실,농산물판매장,쉼터",N,N
2,홍성(목포 방향),고속국도,서해안선,하행,36.552584,126.579514,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,홍성반상한우국밥,041-642-1151,041-642-1151,"수유실,쉼터",N,N
3,홍성(서울 방향),고속국도,서해안선,상행,36.5524301,126.5818701,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,홍성반상한우국밥,041-642-1172,041-642-1172,"수유실,쉼터",N,N
4,홍천(서울 방향),고속국도,서울양양선,상행,37.758898,128.0065801,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,중화비빔밥,033-436-9000,033-436-9000,"수유실,농산물판매장",N,N
5,홍천(양양 방향),고속국도,서울양양선,하행,37.757369,128.003099,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,홍천닭갈비화로구이,033-436-3000,033-436-3000,"수유실,농산물판매장",N,N
6,홍천강(춘천 방향),고속국도,중앙선,상행,37.712386,127.827719,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,얼큰황태순두부_주물솥밥,033-435-1201,033-435-1201,수유실,N,N
7,화서(영덕 방향),고속국도,당진영덕선,상행,36.444053,127.922637,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,제육볶음,054-531-1982,054-531-1982,"수유실,샤워실,세탁실,농산물판매장,쉼터",N,N
8,화성(목포 방향),고속국도,서해안선,하행,37.143612,126.8790801,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,화성궁중비빔밥,031-353-8140,031-353-8140,수유실,N,Y
9,화성(서울 방향),고속국도,서해안선,상행,37.143497,126.881289,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,순두부청국장,031-353-8143,031-353-8143,"수유실,농산물판매장",N,Y
10,황간(부산 방향),고속국도,경부선,하행,36.248899,127.8526701,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,영표국밥＆솥밥,043-742-5805,043-742-5805,"수유실,농산물판매장",N,N
11,황간(서울 방향),고속국도,경부선,상행,36.249437,127.854835,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,영표국밥＆솥밥,043-742-7633,043-742-7633,"수유실,농산물판매장",N,N
12,황전(순천 방향),고속국도,순천완주선,하행,35.148905,127.454145,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"고소한 수제돈가스, 남도식국물잡채",061-782-1135,061-782-1135,"수유실,쉼터",N,N
13,황전(완주 방향),고속국도,순천완주선,상행,35.153306,127.454683,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"황전해초꼬막비빔밥, 재첩국",061-782-1154,061-782-1154,"수유실,쉼터",N,N
14,횡성(강릉 방향),고속국도,영동선,하행,37.462755,128.133969,일반휴게소,00:00,23:59,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,횡성한우떡더덕스테이크,033-342-4231,033-342-4231,"수유실,농산물판매장,쉼터",N,N
15,횡성(인천 방향),고속국도,영동선,상행,37.464983,128.135449,일반휴게소,00:00,23:59,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,횡성더덕설렁탕,033-342-4200,033-342-4200,"수유실,농산물판매장,쉼터",N,N
16,청주(서울 방향),고속국도,경부선,상행,36.716005,127.349315,화물차휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,솥밥통마늘제육정식,043-237-1700,043-237-1700,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
17,청통(대구 방향),고속국도,대구포항선,하행,35.993928,128.859145,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,차돌된장찌개,054-337-5009,054-337-5009,"수유실,쉼터",N,N
18,추풍령(부산 방향),고속국도,경부선,하행,36.200356,128.000331,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,얼큰칼제비,054-430-2000,054-430-2000,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
